Comment.id|Person.id
1236950581249|10995116284808
1236950581250|4139
2061584302085|4139
2061584302086|4139
2061584302087|4139
2061584302088|10995116284808
2061584302089|32985348838375
2061584302090|10995116284808
2061584302091|6597069777240
2061584302092|10995116284808
2061584302093|6597069777240
2061584302094|6597069777240
2061584302095|32985348838375
2061584302096|10995116284808
2061584302097|32985348838375
2061584302098|4139
2061584302099|10995116284808
2061584302100|4139
2061584302101|6597069777240
2061584302102|6597069777240
2061584302103|32985348838375
1649267441689|6597069777240
1649267441690|6597069777240
1649267441691|4139
1649267441692|4139
1649267441693|10995116284808
1649267441694|10995116284808
1649267441695|6597069777240
1786706395169|10995116284808
1786706395170|4139
1786706395171|4139
1786706395172|6597069777240
1786706395173|10995116284808
1786706395174|4139
1786706395175|6597069777240
412316860457|4139
412316860458|4139
412316860459|4139
412316860460|4139
412316860461|4139
412316860462|4139
412316860463|4139
412316860464|4139
412316860465|4139
412316860466|4139
412316860467|4139
412316860468|4139
412316860469|4139
412316860470|4139
412316860471|4139
962072674361|4139
962072674362|10995116284808
962072674363|4139
962072674364|4139
962072674365|10995116284808
962072674366|4139
962072674367|10995116284808
962072674368|10995116284808
962072674369|4139
962072674370|4139
962072674371|6597069777240
962072674372|10995116284808
962072674373|4139
962072674374|6597069777240
1374389535138|2199023262543
1374389535139|1242
1374389535140|6597069776731
1374389535141|1242
1374389535142|8796093026744
1374389535143|6597069776731
1374389535144|6597069776731
1374389535145|6597069776731
687194767787|1242
687194767788|1242
687194767789|2199023262543
687194767790|1242
687194767791|2199023262543
687194767792|6597069776731
687194767793|2199023262543
687194767794|1242
687194767795|8796093026744
687194767796|6597069776731
687194767797|1242
687194767798|6597069771886
137438953912|1242
137438953913|2199023262543
137438953915|2199023262543
137438953916|1242
137438953917|1242
137438953918|2199023262543
137438953919|2199023262543
137438953920|1242
137438953921|2199023262543
137438953922|2199023262543
137438953923|1242
137438953924|2199023262543
137438953925|1242
137438953926|1242
137438953927|2199023262543
137438953928|1242
137438953929|1242
137438953930|2199023262543
1374389535180|8796093026744
1374389535181|10995116283653
1374389535182|6597069771886
1374389535183|19791209304051
1374389535184|10995116283653
1374389535185|1242
1374389535186|19791209304051
1374389535187|8796093026744
1374389535188|6597069771886
1374389535189|2199023262543
1374389535190|10995116283653
1374389535191|8796093026744
1374389535192|2199023262543
1374389535193|6597069776731
1374389535194|6597069771886
1374389535195|6597069771886
1374389535196|8796093026744
137438953950|2199023262543
137438953951|1242
137438953952|1242
1374389535202|10995116283653
1374389535203|6597069771886
1374389535204|6597069771886
1374389535205|19791209304051
1374389535206|8796093026744
1374389535207|19791209304051
1374389535208|10995116283653
1374389535209|6597069776731
1374389535210|6597069771886
1374389535211|6597069776731
1374389535212|10995116283653
687194767854|1242
687194767855|6597069776731
687194767856|2199023262543
687194767857|8796093026744
687194767858|6597069776731
687194767859|2199023262543
687194767860|6597069771886
687194767861|8796093026744
687194767862|2199023262543
687194767863|2199023262543
687194767864|6597069771886
687194767865|1242
687194767866|1242
687194767867|6597069771886
687194767868|1242
687194767869|6597069776731
687194767870|8796093026744
687194767871|1242
687194767872|6597069776731
824633721347|10995116283243
824633721348|10995116284617
2061584302598|10995116284617
2061584302599|26388279073397
2061584302600|10995116284617
2061584302601|19791209307382
2061584302602|15393162791572
2061584302603|24189255813524
2061584302604|15393162791572
962072674830|10995116283243
962072674831|10995116284617
962072674832|10995116283243
962072674833|13194139537478
962072674834|10995116283243
962072674835|10995116283243
962072674836|1564
962072674837|10995116284617
962072674838|6597069767851
962072674839|13194139536019
962072674840|1564
962072674841|10995116283243
962072674842|13194139537478
962072674843|6597069767851
962072674844|13194139536019
962072674845|2783
962072674846|13194139536019
962072674847|10995116284617
962072674848|10995116284617
962072674849|2194
1649267442211|10995116283243
1649267442212|15393162790796
1649267442213|19791209307382
1649267442214|10995116283243
1649267442215|2194
1649267442216|10995116284617
1649267442217|15393162795439
1649267442218|10995116283243
557|2783
558|2783
559|2783
560|2783
561|2783
562|2783
563|2783
564|2783
565|2783
566|2783
567|2783
568|2783
962072674874|2194
962072674875|2783
962072674876|1564
1099511628349|6597069767851
962072674878|15393162795439
962072674879|6597069767851
962072674880|10995116283243
1649267442242|26388279076608
1649267442243|13194139537478
1649267442244|2783
1649267442245|13194139537478
1649267442246|13194139537478
1649267442247|15393162795439
1649267442248|13194139536019
1649267442249|26388279076608
1649267442250|13194139536019
1649267442251|15393162791572
1649267442252|15393162790796
1649267442253|1564
1649267442254|13194139536019
1649267442255|2783
1649267442256|13194139536019
1649267442257|15393162795439
1649267442258|2194
2061584302676|15393162791572
2061584302677|15393162790796
412316861015|2783
412316861016|1564
412316861017|2783
412316861018|1564
412316861019|1564
412316861020|2194
412316861021|2783
412316861022|2783
412316861023|2194
412316861024|2783
412316861025|1564
1099511628387|10995116284617
1099511628388|15393162795439
1099511628389|15393162795439
1099511628390|10995116284617
1099511628391|15393162795439
1099511628392|10995116284617
1099511628393|10995116283243
1099511628394|15393162795439
1099511628395|1564
1099511628396|2194
1099511628397|10995116283243
1099511628398|6597069767851
1099511628399|10995116284617
1099511628400|1564
1099511628401|15393162790796
1099511628403|1564
1099511628404|2194
549755814519|6597069767851
549755814520|2783
549755814521|2194
549755814522|2783
549755814523|2783
549755814524|2783
549755814525|2783
549755814526|2194
549755814527|2783
549755814528|2194
549755814529|6597069767851
549755814533|2194
549755814534|1564
549755814535|2194
549755814536|1564
549755814537|1564
549755814539|6597069767851
549755814540|1564
549755814541|6597069767851
549755814542|2194
549755814543|2783
549755814544|1564
549755814545|6597069767851
549755814546|2783
1511828488852|2194
1511828488853|15393162795439
1511828488854|1564
1511828488855|13194139537478
1511828488857|6597069767851
1511828488858|24189255813524
1511828488859|15393162790796
1511828488860|19791209307382
1511828488861|13194139536019
1511828488862|15393162795439
1511828488863|6597069767851
1511828488864|10995116283243
1511828488865|15393162790796
1511828488866|2194
1511828488867|15393162791572
1511828488868|1564
1511828488869|13194139536019
1511828488870|6597069767851
1511828488872|10995116284617
1511828488873|1564
1511828488874|2194
1511828488875|24189255813524
1511828488876|24189255813524
1511828488877|2783
1511828488878|10995116283243
1511828488879|15393162791572
549755814577|6597069767851
549755814578|6597069767851
549755814579|1564
549755814580|2194
549755814581|2783
549755814582|2783
549755814583|1564
549755814584|2194
549755814585|6597069767851
549755814586|2783
549755814587|2194
549755814588|6597069767851
549755814589|2783
549755814590|1564
549755814591|1564
549755814593|2194
549755814594|6597069767851
549755814595|6597069767851
549755814596|2194
549755814597|6597069767851
549755814598|2194
549755814599|1564
549755814600|2783
549755814602|2194
549755814603|1564
549755814604|2194
549755814605|6597069767851
549755814606|6597069767851
549755814607|2783
549755814608|6597069767851
549755814609|2194
549755814612|2783
549755814613|2783
549755814614|2783
549755814615|6597069767851
549755814616|6597069767851
549755814617|2194
549755814618|1564
549755814619|2194
549755814620|6597069767851
549755814621|6597069767851
549755814622|2194
549755814623|2783
549755814624|1564
549755814626|1564
549755814627|6597069767851
549755814628|6597069767851
549755814629|2783
549755814630|2194
549755814631|6597069767851
549755814632|2783
549755814633|6597069767851
549755814634|1564
549755814635|2194
549755814636|2783
549755814637|2783
549755814638|2194
549755814639|6597069767851
549755814640|1564
549755814641|2194
549755814643|2783
549755814644|6597069767851
549755814645|6597069767851
549755814646|6597069767851
549755814647|2194
549755814648|2783
549755814649|2783
549755814650|6597069767851
549755814652|2783
549755814653|1564
549755814654|2783
549755814655|1564
549755814656|2783
549755814657|2783
549755814659|2194
549755814660|6597069767851
549755814662|4398046511667
549755814663|6540
549755814664|4398046511667
549755814665|10469
549755814666|4398046511667
549755814667|6540
549755814668|4398046511667
549755814669|6540
549755814670|4398046511667
549755814671|2199023259200
549755814672|6540
549755814673|10469
549755814674|4398046511667
1099511628564|8796093023919
1099511628565|6540
1099511628566|13194139534154
1099511628567|15393162799044
1099511628568|15393162799044
1099511628569|8796093023919
1099511628570|10469
1099511628571|4398046511667
1099511628572|13194139543072
412316861217|6540
412316861218|10469
274877907748|10469
274877907749|4398046511667
274877907750|6540
274877907751|2199023259200
274877907752|6540
274877907753|10469
274877907754|4398046511667
274877907755|10469
274877907756|4398046511667
274877907757|6540
274877907758|6540
274877907759|2199023259200
274877907760|6540
274877907761|10469
274877907762|4398046511667
274877907763|4398046511667
274877907764|6540
274877907765|4398046511667
274877907766|4398046511667
274877907767|6540
274877907769|2199023259200
274877907770|4398046511667
274877907771|4398046511667
274877907772|6540
274877907773|6540
274877907774|2199023259200
274877907775|10469
274877907776|6540
274877907777|2199023259200
274877907778|4398046511667
274877907779|6540
274877907780|6540
274877907781|10469
274877907782|2199023259200
274877907783|4398046511667
1924145349449|10469
1924145349450|28587302323035
1924145349451|4398046511667
1924145349452|13194139534154
1924145349453|15393162798113
1924145349454|26388279071742
412316861278|6540
412316861279|2199023259200
412316861280|4398046511667
412316861281|4398046511667
412316861282|2199023259200
412316861283|10469
412316861284|2199023259200
412316861285|10469
412316861286|6540
412316861287|6540
412316861288|6540
412316861289|10469
412316861290|10469
412316861291|10469
412316861292|6540
1511828489070|21990232556650
1511828489071|17592186055044
1511828489072|17592186045865
1511828489073|10995116279521
1511828489074|10469
1511828489075|21990232556650
1511828489076|2199023259200
1511828489077|17592186054140
1511828489078|10469
1511828489079|17592186045865
1511828489080|10995116279521
1511828489081|13194139543072
1511828489082|19791209303477
1511828489083|17592186045865
1511828489084|17592186054140
1099511628670|13194139537520
1099511628671|15393162798113
1099511628672|4398046511667
1099511628673|2199023259200
1099511628674|10995116279521
1099511628675|8796093023919
1099511628676|13194139543072
1099511628677|15393162798113
412316861338|10469
412316861339|2199023259200
412316861340|6540
412316861341|6540
412316861342|4398046511667
412316861343|2199023259200
412316861344|6540
412316861345|6540
412316861346|2199023259200
412316861347|2199023259200
412316861348|10469
412316861349|2199023259200
412316861350|2199023259200
412316861351|6540
412316861353|10469
412316861354|2199023259200
412316861355|6540
412316861356|2199023259200
412316861357|2199023259200
962072675247|2199023259200
962072675248|13194139534154
962072675249|13194139543072
962072675250|8796093023919
962072675251|15393162798113
962072675252|10469
962072675253|13194139534154
962072675254|10469
962072675255|2199023259200
962072675256|10469
1099511628729|15393162799044
962072675258|10469
1099511628731|6540
962072675260|10995116279521
962072675261|13194139537520
962072675262|2199023259200
1099511628735|13194139543072
1099511628736|13194139537520
274877907906|4398046511667
274877907907|2199023259200
549755814853|2199023259200
549755814854|4398046511667
549755814855|6540
549755814856|2199023259200
412316861386|10469
412316861387|10469
412316861388|6540
412316861389|4398046511667
412316861390|2199023259200
687194768337|9401
687194768338|2199023257448
687194768339|9401
687194768340|9401
687194768341|2199023257448
687194768342|9321
687194768343|9321
687194768344|2199023257448
687194768345|2199023257448
549755814876|9401
549755814877|9321
549755814878|2199023257448
549755814879|2199023257448
137438954465|9401
137438954466|2199023257448
137438954467|9321
137438954468|2199023257448
137438954469|9321
137438954470|9321
137438954471|2199023257448
137438954472|9321
137438954473|2199023257448
137438954474|9401
137438954475|2199023257448
137438954476|9321
1924145349614|26388279071362
1008|9401
1009|9401
137438954483|9321
137438954484|9321
137438954485|2199023257448
137438954486|2199023257448
137438954488|9401
137438954489|9401
137438954490|9321
137438954491|9401
137438954492|9401
137438954493|9401
137438954494|9401
137438954495|9321
137438954496|2199023257448
137438954497|9401
137438954498|9401
137438954499|9401
137438954500|9321
137438954501|9321
137438954502|9401
962072675336|10995116285387
962072675337|2199023257448
962072675338|10995116285387
962072675339|9401
962072675340|4398046514948
962072675341|9321
962072675342|2199023257448
687194768400|9321
687194768401|10995116279272
687194768402|9401
687194768403|10995116285387
687194768404|10995116285387
687194768405|9321
687194768406|9401
687194768407|10995116285387
687194768408|9401
687194768409|9401
687194768410|2199023257448
687194768411|10995116279272
687194768412|2199023257448
412316861470|4398046514948
412316861472|2199023257448
412316861473|4398046514948
412316861474|4398046514948
412316861476|2199023257448
412316861477|9321
412316861478|2199023257448
412316861479|4398046514948
412316861480|9321
412316861481|2199023257448
412316861482|2199023257448
412316861483|2199023257448
412316861484|9401
412316861485|9321
412316861486|9401
412316861487|2199023257448
412316861488|9321
412316861489|2199023257448
412316861491|9401
412316861492|9401
412316861495|2199023257448
412316861496|4398046514948
412316861498|9401
412316861499|9321
412316861500|4398046514948
412316861501|2199023257448
412316861502|9401
412316861503|9401
412316861504|9401
412316861505|9401
412316861506|9321
412316861507|2199023257448
412316861508|4398046514948
412316861509|9321
412316861510|4398046514948
412316861511|2199023257448
412316861513|4398046514948
412316861514|9321
412316861515|9401
412316861516|2199023257448
412316861517|9401
274877908047|9321
274877908048|9321
274877908049|9401
274877908050|9321
274877908051|9321
274877908052|2199023257448
274877908053|9321
274877908054|9401
274877908055|2199023257448
274877908056|9401
274877908057|2199023257448
274877908058|9321
274877908059|9321
274877908060|9401
274877908061|2199023257448
274877908062|9321
274877908063|9401
274877908064|9401
274877908065|9401
274877908066|2199023257448
412316861540|9401
412316861541|9321
412316861542|4398046514948
412316861543|4398046514948
412316861544|2199023257448
412316861546|4398046514948
412316861547|9321
412316861548|9321
274877908078|9321
274877908079|9321
274877908080|9401
274877908081|9401
274877908083|9401
274877908084|9401
274877908086|9401
