Person.id|Person.id|creationDate
933|4139|2010-03-13T07:37:21.718+0000
933|6597069777240|2010-09-20T09:42:43.187+0000
933|10995116284808|2011-01-02T06:43:41.955+0000
933|32985348833579|2012-09-07T01:11:30.195+0000
933|32985348838375|2012-07-17T08:04:49.463+0000
1129|1242|2010-02-02T16:38:44.119+0000
1129|2199023262543|2010-03-31T22:07:57.321+0000
1129|6597069771886|2010-07-24T11:15:48.162+0000
1129|6597069776731|2010-08-04T03:38:36.982+0000
1129|8796093026744|2010-10-22T01:03:48.242+0000
1129|10995116283653|2011-01-14T05:34:23.872+0000
1129|19791209304051|2011-09-11T09:40:22.570+0000
1129|21990232557330|2011-10-10T18:36:19.573+0000
1129|21990232560132|2011-10-23T20:55:25.147+0000
1129|26388279076187|2012-03-15T04:46:41.597+0000
1129|28587302332507|2012-05-08T03:59:30.507+0000
1129|30786325584319|2012-06-04T00:15:26.038+0000
1129|32985348834375|2012-08-18T10:44:48.111+0000
1129|32985348841922|2012-08-18T09:30:34.194+0000
4194|6597069767851|2010-09-03T20:34:44.773+0000
4194|10995116283243|2010-12-31T19:11:13.482+0000
4194|10995116284617|2010-12-05T12:17:13.136+0000
4194|13194139536019|2011-02-11T19:54:16.193+0000
4194|13194139537478|2011-01-15T21:01:40.246+0000
4194|15393162790796|2011-05-14T10:09:37.193+0000
4194|15393162791572|2011-04-29T04:23:59.018+0000
4194|15393162795439|2011-04-24T13:00:16.655+0000
4194|19791209307382|2011-09-09T18:06:39.217+0000
4194|24189255813524|2011-12-06T20:25:48.866+0000
4194|26388279073397|2012-03-19T05:06:27.925+0000
4194|26388279076608|2012-01-10T20:35:43.201+0000
4194|30786325581208|2012-05-27T21:20:02.281+0000
4194|32985348840689|2012-08-05T02:44:01.434+0000
8333|10469|2010-03-13T10:13:42.370+0000
8333|2199023259200|2010-03-07T17:04:25.876+0000
8333|4398046511667|2010-05-27T13:54:56.571+0000
8333|8796093023919|2010-10-23T01:13:56.341+0000
8333|10995116279521|2010-12-27T23:39:38.752+0000
8333|10995116285387|2010-11-22T04:07:32.585+0000
8333|13194139534154|2011-02-05T02:27:10.618+0000
8333|13194139537520|2011-02-08T03:27:14.218+0000
8333|13194139543072|2011-03-20T05:53:44.974+0000
8333|15393162798113|2011-04-25T00:28:01.618+0000
8333|15393162799044|2011-04-30T06:23:06.994+0000
8333|17592186045865|2011-06-13T07:17:17.634+0000
8333|17592186054140|2011-06-17T17:55:53.381+0000
8333|17592186055044|2011-06-30T05:37:05.129+0000
8333|19791209303477|2011-08-08T18:18:07.954+0000
8333|19791209304170|2011-07-26T18:03:16.321+0000
8333|19791209310673|2011-08-17T20:03:32.656+0000
8333|21990232556650|2011-11-01T23:23:48.311+0000
8333|21990232559693|2011-10-31T11:16:05.537+0000
8333|24189255817201|2011-12-21T16:36:02.953+0000
8333|24189255820751|2011-12-29T18:26:34.566+0000
8333|26388279071742|2012-02-09T18:27:07.539+0000
8333|28587302323035|2012-04-28T04:05:13.817+0000
8333|30786325578383|2012-05-30T12:25:05.953+0000
8333|30786325581203|2012-06-01T03:47:20.617+0000
8333|30786325583918|2012-06-17T18:36:09.045+0000
8333|30786325585162|2012-07-28T20:36:00.002+0000
8333|32985348835923|2012-08-12T15:30:44.302+0000
8333|32985348840094|2012-08-08T02:04:18.936+0000
8698|9321|2010-02-25T09:26:35.598+0000
8698|9401|2010-02-01T17:38:41.984+0000
8698|2199023257448|2010-03-17T10:41:31.140+0000
8698|4398046514948|2010-07-04T11:31:53.766+0000
8698|10995116279272|2010-12-07T06:10:26.035+0000
8698|10995116285387|2010-11-17T02:13:10.725+0000
8698|19791209302403|2011-08-15T04:16:13.130+0000
8698|19791209303961|2011-08-29T07:31:13.822+0000
8698|21990232565935|2011-10-19T09:49:25.985+0000
8698|24189255821602|2011-12-18T02:49:41.428+0000
8698|26388279071362|2012-03-18T10:08:38.535+0000
8698|26388279074032|2012-02-05T10:30:38.619+0000
8698|28587302323141|2012-04-18T18:57:50.006+0000
8698|28587302330900|2012-05-23T03:42:21.402+0000
8698|28587302330973|2012-04-03T08:16:34.142+0000
8698|28587302331745|2012-04-23T11:13:33.001+0000
8698|30786325578194|2012-05-17T03:07:03.494+0000
8698|30786325583825|2012-05-26T17:07:56.439+0000
8853|9598|2010-03-04T12:59:32.034+0000
8853|2199023262543|2010-04-08T07:37:08.878+0000
8853|4398046519736|2010-06-29T21:29:46.442+0000
8853|8796093023851|2010-11-16T16:24:08.363+0000
8853|8796093029002|2010-10-12T02:30:09.903+0000
8853|8796093031739|2010-10-20T07:57:23.348+0000
8853|13194139535025|2011-02-13T14:52:50.666+0000
8853|13194139543218|2011-02-13T10:46:05.471+0000
8853|17592186052187|2011-07-15T15:17:48.089+0000
8853|24189255820408|2011-12-26T21:21:42.503+0000
8853|30786325581208|2012-05-13T09:11:45.904+0000
8853|30786325583918|2012-06-26T21:24:47.225+0000
8853|32985348837431|2012-08-24T17:14:16.444+0000
8853|32985348839821|2012-08-26T05:01:12.702+0000
10027|10955|2010-02-17T10:23:43.601+0000
10027|2199023256181|2010-05-01T10:46:03.753+0000
10027|2199023258328|2010-04-18T23:35:59.709+0000
10027|2199023259875|2010-05-15T07:47:30.495+0000
10027|2199023262209|2010-04-24T00:23:56.306+0000
10027|2199023262544|2010-04-15T19:11:35.975+0000
10027|2199023264141|2010-05-12T11:50:32.135+0000
10027|2199023265009|2010-05-08T18:31:18.274+0000
10027|2199023265994|2010-03-16T20:27:43.940+0000
10027|2199023266355|2010-04-25T15:42:58.073+0000
10027|4398046514948|2010-06-29T20:34:46.107+0000
10027|4398046515513|2010-06-07T23:07:53.996+0000
10027|4398046516245|2010-06-29T11:23:53.815+0000
10027|4398046518332|2010-05-21T22:00:03.836+0000
10027|4398046518346|2010-06-07T07:02:58.374+0000
10027|4398046518756|2010-06-05T20:15:24.297+0000
10027|4398046520019|2010-07-09T03:34:33.525+0000
10027|4398046520861|2010-06-17T00:57:47.997+0000
10027|4398046521028|2010-07-12T09:22:33.559+0000
10027|6597069772461|2010-08-24T02:51:38.549+0000
10027|6597069772672|2010-07-31T13:43:41.509+0000
10027|6597069772942|2010-09-11T04:54:08.530+0000
10027|6597069774002|2010-07-20T07:41:47.434+0000
10027|6597069776242|2010-09-14T15:00:41.665+0000
10027|6597069776731|2010-08-20T14:28:29.703+0000
10027|6597069777089|2010-08-24T17:26:28.639+0000
10027|8796093024661|2010-09-30T05:04:44.521+0000
10027|8796093028680|2010-11-04T20:50:48.867+0000
10027|8796093029658|2010-10-21T15:03:20.025+0000
10027|8796093029978|2010-10-14T04:30:19.458+0000
10027|8796093032138|2010-09-17T19:23:16.115+0000
10027|10995116280723|2011-01-20T11:03:20.771+0000
10027|10995116282278|2011-01-03T20:33:39.589+0000
10027|10995116283227|2010-12-25T16:07:08.398+0000
10027|10995116286147|2010-11-11T11:16:47.411+0000
10027|10995116286944|2010-12-21T19:01:17.735+0000
10027|13194139533535|2011-01-25T03:03:29.666+0000
10027|13194139533834|2011-03-04T16:49:11.165+0000
10027|13194139543551|2011-02-24T12:56:37.504+0000
10027|15393162791846|2011-04-29T20:13:27.144+0000
10027|15393162792237|2011-05-10T13:13:39.596+0000
10027|15393162792856|2011-04-25T19:25:53.063+0000
10027|15393162796757|2011-04-02T07:15:46.667+0000
10027|15393162797735|2011-04-05T12:23:25.297+0000
10027|15393162799173|2011-05-21T10:58:06.631+0000
10027|15393162799262|2011-03-28T11:32:13.051+0000
10027|17592186045573|2011-07-29T13:28:21.096+0000
10027|17592186045865|2011-05-21T15:17:27.163+0000
10027|17592186049473|2011-07-05T13:01:04.850+0000
10027|17592186050859|2011-06-07T19:42:38.127+0000
10027|17592186051281|2011-05-25T19:34:06.857+0000
10027|17592186052552|2011-06-20T09:53:46.522+0000
10027|17592186055331|2011-06-12T01:57:17.282+0000
10027|19791209300814|2011-07-25T21:27:34.628+0000
10027|19791209301676|2011-08-14T08:48:05.775+0000
10027|19791209303331|2011-08-14T01:21:18.423+0000
10027|19791209305722|2011-09-15T10:19:57.379+0000
10027|19791209309381|2011-08-08T09:02:46.486+0000
10027|21990232556605|2011-11-11T03:30:51.815+0000
10027|21990232560610|2011-10-12T20:30:28.781+0000
10027|21990232563129|2011-10-28T11:00:33.456+0000
10027|21990232565744|2011-11-21T23:16:55.516+0000
10027|21990232565867|2011-10-18T23:53:34.952+0000
10027|24189255811940|2012-01-29T07:28:57.881+0000
10027|24189255813941|2011-11-26T08:53:26.571+0000
10027|24189255815464|2011-11-23T04:26:42.316+0000
10027|24189255817943|2011-12-27T03:53:18.892+0000
10027|24189255818030|2011-12-19T07:29:43.173+0000
10027|24189255821174|2011-11-11T09:52:48.374+0000
10027|26388279070667|2012-02-03T22:49:07.358+0000
10027|26388279071427|2012-03-10T05:28:09.910+0000
10027|26388279073821|2012-03-02T20:41:21.192+0000
10027|26388279074032|2012-01-11T12:19:16.917+0000
10027|26388279077364|2012-02-07T09:42:22.757+0000
10027|28587302323385|2012-03-15T06:42:41.115+0000
10027|28587302328223|2012-04-23T00:27:27.363+0000
10027|28587302330973|2012-04-15T17:07:46.747+0000
10027|28587302332537|2012-04-17T23:56:40.103+0000
10027|30786325579845|2012-06-25T00:58:33.542+0000
10027|32985348833548|2012-08-11T01:11:53.483+0000
10027|32985348835451|2012-08-06T14:43:22.491+0000
10027|32985348837470|2012-08-08T06:07:12.234+0000
10027|32985348840628|2012-08-05T21:08:48.029+0000
2199023256684|8796093030364|2010-11-23T15:31:07.586+0000
2199023256684|17592186053137|2011-07-13T18:00:32.632+0000
2199023256684|24189255820866|2012-01-06T07:36:24.202+0000
2199023256684|26388279072730|2012-04-01T09:04:52.804+0000
2199023261211|15393162797363|2011-04-02T17:18:29.287+0000
2199023261211|15393162798801|2011-05-15T14:00:47.604+0000
2199023261211|17592186046293|2011-07-26T03:57:08.577+0000
2199023261211|24189255815418|2012-01-07T12:03:47.752+0000
2199023261211|28587302326294|2012-03-23T05:11:22.951+0000
2199023261211|32985348843218|2012-08-23T03:03:10.855+0000
2199023262994|2199023263218|2010-05-19T13:24:01.704+0000
2199023262994|2199023263814|2010-05-02T18:42:44.623+0000
2199023262994|2199023264999|2010-04-26T22:42:55.760+0000
2199023262994|2199023265049|2010-05-18T07:27:48.459+0000
2199023262994|4398046512267|2010-06-26T20:46:33.632+0000
2199023262994|4398046513367|2010-05-03T20:27:05.420+0000
2199023262994|4398046515067|2010-07-05T03:56:30.224+0000
2199023262994|4398046515211|2010-07-03T01:43:40.909+0000
2199023262994|4398046516242|2010-06-15T01:47:09.940+0000
2199023262994|4398046516745|2010-05-28T03:18:05.101+0000
2199023262994|4398046517791|2010-06-05T14:13:57.606+0000
2199023262994|4398046518733|2010-05-25T19:19:26.309+0000
2199023262994|4398046520132|2010-05-29T02:57:19.119+0000
2199023262994|6597069767747|2010-08-30T21:49:00.374+0000
2199023262994|6597069769791|2010-08-17T14:15:49.942+0000
2199023262994|6597069772090|2010-08-10T19:23:45.796+0000
2199023262994|6597069772398|2010-09-10T05:02:41.052+0000
2199023262994|6597069772853|2010-08-26T14:46:48.188+0000
2199023262994|6597069777302|2010-09-17T18:04:26.921+0000
2199023262994|8796093023234|2010-11-21T22:45:25.311+0000
2199023262994|8796093025148|2010-11-11T21:07:52.774+0000
2199023262994|8796093027320|2010-10-28T05:02:07.665+0000
2199023262994|8796093027572|2010-10-30T20:05:17.664+0000
2199023262994|8796093029365|2010-11-18T19:45:10.511+0000
2199023262994|8796093030364|2010-11-04T21:46:22.545+0000
2199023262994|8796093030543|2010-10-07T01:43:39.309+0000
2199023262994|10995116280527|2010-11-21T03:40:52.935+0000
2199023262994|10995116281495|2011-01-02T22:49:57.280+0000
2199023262994|10995116283482|2011-01-10T20:12:31.208+0000
2199023262994|10995116284352|2011-01-03T20:22:17.515+0000
2199023262994|10995116288020|2010-12-08T17:37:59.193+0000
2199023262994|10995116288088|2010-11-22T00:54:17.381+0000
2199023262994|10995116288226|2010-12-12T00:20:41.717+0000
2199023262994|13194139536067|2011-02-03T16:13:43.127+0000
2199023262994|13194139538390|2011-02-02T20:47:56.226+0000
2199023262994|13194139539971|2011-02-15T10:04:18.190+0000
2199023262994|13194139541878|2011-02-07T23:30:17.629+0000
2199023262994|13194139542235|2011-03-03T02:11:38.394+0000
2199023262994|15393162791400|2011-04-30T19:46:19.518+0000
2199023262994|15393162797363|2011-04-12T20:34:31.362+0000
